participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
57,1,chickens,,53,13,30,49,1,41,45,37,,47,87,70,51,99,59,55,63,,,,1,,1,1,1,1,,1,1,1,10,85,95,20,50,5,65,55
57,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
93,1,psychic,,37,53,1,41,45,30,13,49,,63,47,99,59,55,70,87,51,,,,1,,1,1,1,1,,1,1,1,5,60,50,100,58,3,2,80
93,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
87,1,psychic,,30,53,49,13,41,1,37,45,,70,47,51,87,59,99,63,55,,,,1,,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0
87,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
92,1,psychic,,1,13,49,37,53,30,41,45,,99,87,51,63,47,70,59,55,,,,1,,1,1,1,1,,1,1,1,62,18,69,60,63,68,50,47
92,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
99,1,chickens,,13,45,1,49,53,41,37,30,,87,55,99,51,47,59,63,70,,,,1,,1,1,1,1,,1,1,1,94,10,98,2,80,89,48,59
99,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
55,1,chickens,,1,45,13,49,37,30,53,41,,99,55,87,51,63,70,47,59,,,,1,,1,1,1,1,,1,1,1,15,100,0,90,75,20,5,0
55,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
6,1,chickens,,13,45,1,30,53,49,37,41,,87,55,99,70,47,51,63,59,,,,1,,1,1,1,1,,1,1,1,20,90,65,100,1,10,50,55
6,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
67,1,chickens,,41,53,13,49,45,30,37,1,,59,47,87,51,55,70,63,99,,,,1,,1,1,1,1,,1,1,1,1,5,1,68,53,5,98,50
67,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
31,1,chickens,,30,41,1,49,53,13,37,45,,70,59,99,51,47,87,63,55,,,,1,,1,1,1,1,,1,1,1,8,73,4,100,89,16,53,75
31,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
86,1,psychic,,13,30,41,49,37,45,1,53,,87,70,59,51,63,55,99,47,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
86,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,0,0,0,,0,,,0,,,0,,,,,,,,
103,1,psychic,,49,53,1,45,41,37,30,13,,51,47,99,55,59,63,70,87,,,,1,,1,1,1,1,,1,1,1,60,70,50,10,50,50,20,35
103,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
33,1,psychic,,30,37,49,53,1,45,13,41,,70,63,51,47,99,55,87,59,,,,1,,1,1,1,1,,1,1,1,37,49,0,0,0,99,4,94
33,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
16,1,psychic,,41,49,1,53,37,45,13,30,,59,51,99,47,63,55,87,70,,,,1,,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0
